levels; best; avg; dev; iterations; ffe; time
158; 9; 9.21999; 0.108447; 1786; 1000775; 304.651s
165; 8; 8.48096; 0.099071; 1703; 1000251; 364.297s
77; 8; 8.745; 0.195036; 2259; 1000349; 400.686s
135; 8; 8.95326; 0.243401; 1613; 1000055; 229.442s
115; 8; 8.5079; 0.207964; 1917; 1000076; 163.563s
141; 8; 8.44596; 0.221888; 1647; 1000400; 246.43s
80; 8; 9.10118; 0.221827; 1935; 1000320; 238.085s
156; 8; 8.29793; 0.104211; 1797; 1000028; 177.381s
118; 8; 8.55739; 0.213972; 1779; 1000317; 351.957s
138; 8; 8.45922; 0.199714; 1844; 1000057; 201.833s
