gen; best; worst; avg; dev; tour; cp; mp; ffe; time
4136; 46; 48; 46.255; 0.45823; 2; 0.7; 0.2; 1000237; 1689.07s
4150; 48; 50; 48.285; 0.51359; 2; 0.7; 0.2; 1000227; 1694.72s
4180; 47; 48; 47.17; 0.375633; 2; 0.7; 0.2; 1000092; 1690.16s
4208; 47; 49; 47.23; 0.432551; 2; 0.7; 0.2; 1000010; 1700.39s
4174; 47; 49; 47.19; 0.404846; 2; 0.7; 0.2; 1000015; 1694.44s
4043; 46; 47; 46.205; 0.403702; 2; 0.7; 0.2; 1000043; 1676.42s
4145; 47; 48; 47.155; 0.361905; 2; 0.7; 0.2; 1000158; 1697.76s
4170; 49; 51; 49.24; 0.471593; 2; 0.7; 0.2; 1000051; 1696.86s
4124; 46; 47; 46.16; 0.366606; 2; 0.7; 0.2; 1000013; 1686.82s
4223; 46; 48; 46.215; 0.445842; 2; 0.7; 0.2; 1000149; 1706.74s
