levels; best; avg; dev; iterations; ffe; time
26; 12; 12.7581; 0.31647; 488; 1000689; 201.033s
35; 12; 13.2068; 0.36891; 279; 1000434; 209.525s
28; 11; 12.9467; 0.461589; 344; 1002688; 188.85s
24; 12; 13.0502; 0.408572; 389; 1001445; 204.171s
33; 12; 12.6754; 0.247136; 371; 1000697; 195.919s
33; 12; 12.9995; 0.39189; 323; 1002086; 195.911s
41; 12; 13.1512; 0.304499; 336; 1003784; 224.024s
28; 12; 12.8048; 0.277241; 451; 1002435; 206.982s
18; 12; 13.5156; 0.393706; 440; 1002270; 207.856s
15; 12; 13.3959; 0.480835; 512; 1000715; 202.557s
