levels; best; avg; dev; iterations; ffe; time
65; 10; 10.8657; 0.340516; 301; 1000782; 136.686s
13; 10; 11.9908; 0.755194; 716; 1000102; 127.862s
25; 10; 11.2458; 0.299857; 523; 1001827; 140.421s
14; 10; 11.4959; 0.613734; 766; 1000708; 144.2s
28; 10; 10.7039; 0.265411; 580; 1003477; 127.272s
46; 10; 10.5959; 0.227856; 384; 1000003; 123.93s
21; 10; 12.0325; 0.509547; 469; 1001920; 117.272s
35; 9; 10.867; 0.360642; 393; 1000366; 119.216s
24; 10; 11.0713; 0.358479; 528; 1002127; 122.393s
23; 10; 11.3144; 0.336617; 483; 1001812; 142.13s
